Collection,Ballot id,Contest,Selections
AllBallots,bid136,Aurora2K,1-Alice
AllBallots,bid137,Aurora2K,1-Alice
AllBallots,bid138,Aurora2K,1-Alice
AllBallots,bid139,Aurora2K,2-Bob
AllBallots,bid140,Aurora2K,1-Alice
AllBallots,bid141,Aurora2K,2-Bob
AllBallots,bid142,Aurora2K,1-Peter,2-Bob
AllBallots,bid143,Aurora2K,2-Bob
AllBallots,bid144,Aurora2K,1-Alice
AllBallots,bid145,Aurora2K,2-Bob
AllBallots,bid146,Aurora2K,1-Alice
AllBallots,bid147,Aurora2K,1-Alice
AllBallots,bid148,Aurora2K,2-Bob
AllBallots,bid149,Aurora2K,1-Peter,2-Bob
AllBallots,bid150,Aurora2K,2-Bob
AllBallots,bid151,Aurora2K,2-Bob
AllBallots,bid152,Aurora2K,1-Alice
AllBallots,bid153,Aurora2K,1-Alice
AllBallots,bid154,Aurora2K,1-Alice
AllBallots,bid155,Aurora2K,1-Alice
AllBallots,bid156,Aurora2K,1-Peter,2-Bob
AllBallots,bid157,Aurora2K,1-Alice
AllBallots,bid158,Aurora2K,2-Bob
AllBallots,bid159,Aurora2K,1-Peter,2-Bob
AllBallots,bid160,Aurora2K,1-Alice
AllBallots,bid161,Aurora2K,2-Bob
AllBallots,bid162,Aurora2K,1-Alice
AllBallots,bid163,Aurora2K,1-Alice
AllBallots,bid164,Aurora2K,1-Peter,2-Bob
AllBallots,bid165,Aurora2K,1-Alice
AllBallots,bid166,Aurora2K,1-Alice
AllBallots,bid167,Aurora2K,1-Alice
AllBallots,bid168,Aurora2K,1-Peter,2-Bob
AllBallots,bid169,Aurora2K,1-Alice
AllBallots,bid170,Aurora2K,1-Alice
AllBallots,bid171,Aurora2K,1-Peter,2-Bob
AllBallots,bid172,Aurora2K,1-Alice
AllBallots,bid173,Aurora2K,1-Peter,2-Bob
AllBallots,bid174,Aurora2K,1-Peter,2-Bob
AllBallots,bid175,Aurora2K,1-Peter,2-Bob
AllBallots,bid176,Aurora2K,2-Bob
AllBallots,bid177,Aurora2K,1-Peter,2-Bob
AllBallots,bid178,Aurora2K,2-Bob
AllBallots,bid179,Aurora2K,2-Bob
AllBallots,bid180,Aurora2K,1-Alice
AllBallots,bid181,Aurora2K,2-Bob
AllBallots,bid182,Aurora2K,1-Alice
AllBallots,bid183,Aurora2K,1-Alice
AllBallots,bid184,Aurora2K,2-Bob
AllBallots,bid185,Aurora2K,2-Bob
AllBallots,bid186,Aurora2K,2-Bob
AllBallots,bid187,Aurora2K,1-Alice
AllBallots,bid188,Aurora2K,1-Alice
AllBallots,bid189,Aurora2K,1-Alice
AllBallots,bid190,Aurora2K,1-Peter,2-Bob
AllBallots,bid191,Aurora2K,1-Alice
AllBallots,bid192,Aurora2K,1-Alice
AllBallots,bid193,Aurora2K,1-Peter,2-Bob
AllBallots,bid194,Aurora2K,1-Alice
AllBallots,bid195,Aurora2K,2-Bob
AllBallots,bid196,Aurora2K,1-Alice
AllBallots,bid197,Aurora2K,1-Peter,2-Bob
AllBallots,bid198,Aurora2K,1-Alice
AllBallots,bid199,Aurora2K,1-Peter,2-Bob
AllBallots,bid200,Aurora2K,1-Peter,2-Bob
AllBallots,bid201,Aurora2K,1-Alice
AllBallots,bid202,Aurora2K,2-Bob
AllBallots,bid203,Aurora2K,2-Bob
AllBallots,bid204,Aurora2K,1-Alice
AllBallots,bid205,Aurora2K,1-Peter,2-Bob
AllBallots,bid206,Aurora2K,1-Alice
AllBallots,bid207,Aurora2K,1-Alice
AllBallots,bid208,Aurora2K,1-Peter,2-Bob
AllBallots,bid209,Aurora2K,1-Alice
AllBallots,bid210,Aurora2K,2-Bob
AllBallots,bid211,Aurora2K,1-Peter,2-Bob
AllBallots,bid212,Aurora2K,1-Peter,2-Bob
AllBallots,bid213,Aurora2K,2-Bob
AllBallots,bid214,Aurora2K,2-Bob
AllBallots,bid215,Aurora2K,2-Bob
AllBallots,bid216,Aurora2K,1-Alice
AllBallots,bid217,Aurora2K,2-Bob
AllBallots,bid218,Aurora2K,1-Alice
AllBallots,bid219,Aurora2K,1-Peter,2-Bob
AllBallots,bid220,Aurora2K,1-Peter,2-Bob
AllBallots,bid221,Aurora2K,1-Peter,2-Bob
AllBallots,bid222,Aurora2K,1-Alice
AllBallots,bid223,Aurora2K,1-Peter,2-Bob
AllBallots,bid224,Aurora2K,1-Alice
AllBallots,bid225,Aurora2K,1-Alice
AllBallots,bid226,Aurora2K,1-Peter,2-Bob
AllBallots,bid227,Aurora2K,2-Bob
AllBallots,bid228,Aurora2K,1-Alice
AllBallots,bid229,Aurora2K,2-Bob
AllBallots,bid230,Aurora2K,1-Peter,2-Bob
AllBallots,bid231,Aurora2K,2-Bob
AllBallots,bid232,Aurora2K,2-Bob
AllBallots,bid233,Aurora2K,1-Alice
AllBallots,bid234,Aurora2K,1-Peter,2-Bob
AllBallots,bid235,Aurora2K,1-Alice
AllBallots,bid236,Aurora2K,2-Bob
AllBallots,bid237,Aurora2K,1-Alice
AllBallots,bid238,Aurora2K,2-Bob
AllBallots,bid239,Aurora2K,2-Bob
AllBallots,bid240,Aurora2K,1-Alice
AllBallots,bid241,Aurora2K,1-Alice
AllBallots,bid242,Aurora2K,1-Alice
AllBallots,bid243,Aurora2K,1-Alice
AllBallots,bid244,Aurora2K,1-Alice
AllBallots,bid245,Aurora2K,2-Bob
AllBallots,bid246,Aurora2K,1-Peter,2-Bob
AllBallots,bid247,Aurora2K,2-Bob
AllBallots,bid248,Aurora2K,1-Alice
AllBallots,bid249,Aurora2K,2-Bob
AllBallots,bid250,Aurora2K,1-Alice
AllBallots,bid251,Aurora2K,1-Alice
AllBallots,bid252,Aurora2K,1-Alice
AllBallots,bid253,Aurora2K,2-Bob
AllBallots,bid254,Aurora2K,1-Alice
AllBallots,bid255,Aurora2K,2-Bob
AllBallots,bid256,Aurora2K,1-Alice
AllBallots,bid257,Aurora2K,1-Alice
AllBallots,bid258,Aurora2K,2-Bob
AllBallots,bid259,Aurora2K,1-Peter,2-Bob
AllBallots,bid260,Aurora2K,1-Alice
AllBallots,bid261,Aurora2K,1-Alice
AllBallots,bid262,Aurora2K,1-Peter,2-Bob
AllBallots,bid263,Aurora2K,2-Bob
AllBallots,bid264,Aurora2K,2-Bob
AllBallots,bid265,Aurora2K,1-Alice
AllBallots,bid266,Aurora2K,1-Alice
AllBallots,bid267,Aurora2K,1-Alice
AllBallots,bid268,Aurora2K,2-Bob
AllBallots,bid269,Aurora2K,1-Peter,2-Bob
AllBallots,bid270,Aurora2K,1-Peter,2-Bob
AllBallots,bid271,Aurora2K,1-Alice
AllBallots,bid272,Aurora2K,2-Bob
AllBallots,bid273,Aurora2K,1-Peter,2-Bob
AllBallots,bid274,Aurora2K,1-Alice
AllBallots,bid275,Aurora2K,1-Peter,2-Bob
AllBallots,bid276,Aurora2K,2-Bob
AllBallots,bid277,Aurora2K,2-Bob
AllBallots,bid278,Aurora2K,1-Alice
AllBallots,bid279,Aurora2K,1-Alice
AllBallots,bid280,Aurora2K,1-Peter,2-Bob
AllBallots,bid281,Aurora2K,1-Alice
AllBallots,bid282,Aurora2K,2-Bob
AllBallots,bid283,Aurora2K,2-Bob
AllBallots,bid284,Aurora2K,1-Alice
AllBallots,bid285,Aurora2K,1-Alice
AllBallots,bid286,Aurora2K,1-Alice
AllBallots,bid287,Aurora2K,1-Peter,2-Bob
AllBallots,bid288,Aurora2K,2-Bob
AllBallots,bid289,Aurora2K,1-Alice
AllBallots,bid290,Aurora2K,1-Alice
AllBallots,bid291,Aurora2K,1-Alice
AllBallots,bid292,Aurora2K,1-Alice
AllBallots,bid293,Aurora2K,1-Alice
AllBallots,bid294,Aurora2K,1-Alice
AllBallots,bid295,Aurora2K,1-Alice
AllBallots,bid296,Aurora2K,1-Alice
AllBallots,bid297,Aurora2K,1-Alice
AllBallots,bid298,Aurora2K,1-Peter,2-Bob
AllBallots,bid299,Aurora2K,1-Alice
AllBallots,bid300,Aurora2K,1-Peter,2-Bob
AllBallots,bid301,Aurora2K,1-Alice
AllBallots,bid302,Aurora2K,1-Peter,2-Bob
AllBallots,bid303,Aurora2K,1-Peter,2-Bob
AllBallots,bid304,Aurora2K,1-Peter,2-Bob
AllBallots,bid305,Aurora2K,1-Alice
AllBallots,bid306,Aurora2K,1-Alice
AllBallots,bid307,Aurora2K,1-Peter,2-Bob
AllBallots,bid308,Aurora2K,2-Bob
AllBallots,bid309,Aurora2K,2-Bob
AllBallots,bid310,Aurora2K,1-Alice
AllBallots,bid311,Aurora2K,2-Bob
AllBallots,bid312,Aurora2K,1-Alice
AllBallots,bid313,Aurora2K,1-Alice
AllBallots,bid314,Aurora2K,2-Bob
AllBallots,bid315,Aurora2K,1-Alice
AllBallots,bid316,Aurora2K,1-Alice
AllBallots,bid317,Aurora2K,2-Bob
AllBallots,bid318,Aurora2K,2-Bob
AllBallots,bid319,Aurora2K,1-Alice
AllBallots,bid320,Aurora2K,1-Alice
AllBallots,bid321,Aurora2K,1-Alice
AllBallots,bid322,Aurora2K,2-Bob
AllBallots,bid323,Aurora2K,1-Alice
AllBallots,bid324,Aurora2K,1-Alice
AllBallots,bid325,Aurora2K,1-Alice
AllBallots,bid326,Aurora2K,2-Bob
AllBallots,bid327,Aurora2K,1-Peter,2-Bob
AllBallots,bid328,Aurora2K,2-Bob
AllBallots,bid329,Aurora2K,1-Peter,2-Bob
AllBallots,bid330,Aurora2K,1-Peter,2-Bob
AllBallots,bid331,Aurora2K,1-Alice
AllBallots,bid332,Aurora2K,1-Alice
AllBallots,bid333,Aurora2K,1-Peter,2-Bob
AllBallots,bid334,Aurora2K,1-Alice
AllBallots,bid335,Aurora2K,1-Alice
AllBallots,bid336,Aurora2K,1-Peter,2-Bob
AllBallots,bid337,Aurora2K,2-Bob
AllBallots,bid338,Aurora2K,1-Alice
AllBallots,bid339,Aurora2K,1-Alice
AllBallots,bid340,Aurora2K,1-Alice
AllBallots,bid341,Aurora2K,1-Alice
AllBallots,bid342,Aurora2K,1-Alice
AllBallots,bid343,Aurora2K,1-Peter,2-Bob
AllBallots,bid344,Aurora2K,1-Alice
AllBallots,bid345,Aurora2K,1-Peter,2-Bob
AllBallots,bid346,Aurora2K,2-Bob
AllBallots,bid347,Aurora2K,1-Alice
AllBallots,bid348,Aurora2K,2-Bob
AllBallots,bid349,Aurora2K,2-Bob
AllBallots,bid350,Aurora2K,1-Alice
AllBallots,bid351,Aurora2K,1-Peter,2-Bob
AllBallots,bid352,Aurora2K,1-Alice
AllBallots,bid353,Aurora2K,1-Alice
AllBallots,bid354,Aurora2K,2-Bob
AllBallots,bid355,Aurora2K,1-Alice
AllBallots,bid356,Aurora2K,1-Peter,2-Bob
AllBallots,bid357,Aurora2K,1-Alice
AllBallots,bid358,Aurora2K,1-Alice
AllBallots,bid359,Aurora2K,1-Peter,2-Bob
AllBallots,bid360,Aurora2K,1-Alice
AllBallots,bid361,Aurora2K,1-Alice
AllBallots,bid362,Aurora2K,2-Bob
AllBallots,bid363,Aurora2K,1-Peter,2-Bob
AllBallots,bid364,Aurora2K,2-Bob
AllBallots,bid365,Aurora2K,1-Alice
AllBallots,bid366,Aurora2K,1-Alice
AllBallots,bid367,Aurora2K,1-Alice
AllBallots,bid368,Aurora2K,1-Alice
AllBallots,bid369,Aurora2K,1-Peter,2-Bob
AllBallots,bid370,Aurora2K,2-Bob
AllBallots,bid371,Aurora2K,1-Peter,2-Bob
AllBallots,bid372,Aurora2K,1-Peter,2-Bob
AllBallots,bid373,Aurora2K,1-Alice
AllBallots,bid374,Aurora2K,1-Peter,2-Bob
AllBallots,bid375,Aurora2K,1-Alice
AllBallots,bid376,Aurora2K,1-Peter,2-Bob
AllBallots,bid377,Aurora2K,1-Peter,2-Bob
AllBallots,bid378,Aurora2K,1-Peter,2-Bob
AllBallots,bid379,Aurora2K,1-Alice
AllBallots,bid380,Aurora2K,1-Peter,2-Bob
AllBallots,bid381,Aurora2K,1-Peter,2-Bob
AllBallots,bid382,Aurora2K,1-Peter,2-Bob
AllBallots,bid383,Aurora2K,1-Alice
AllBallots,bid384,Aurora2K,1-Alice
AllBallots,bid385,Aurora2K,1-Alice
AllBallots,bid386,Aurora2K,1-Peter,2-Bob
AllBallots,bid387,Aurora2K,1-Peter,2-Bob
AllBallots,bid388,Aurora2K,1-Alice
AllBallots,bid389,Aurora2K,2-Bob
AllBallots,bid390,Aurora2K,1-Alice
AllBallots,bid391,Aurora2K,1-Peter,2-Bob
AllBallots,bid392,Aurora2K,2-Bob
AllBallots,bid393,Aurora2K,1-Alice
AllBallots,bid394,Aurora2K,1-Alice
AllBallots,bid395,Aurora2K,2-Bob
AllBallots,bid396,Aurora2K,2-Bob
AllBallots,bid397,Aurora2K,2-Bob
AllBallots,bid398,Aurora2K,1-Peter,2-Bob
AllBallots,bid399,Aurora2K,1-Alice
AllBallots,bid400,Aurora2K,1-Alice
AllBallots,bid401,Aurora2K,1-Alice
AllBallots,bid402,Aurora2K,1-Alice
AllBallots,bid403,Aurora2K,1-Peter,2-Bob
AllBallots,bid404,Aurora2K,2-Bob
AllBallots,bid405,Aurora2K,1-Peter,2-Bob
AllBallots,bid406,Aurora2K,1-Alice
AllBallots,bid407,Aurora2K,1-Peter,2-Bob
AllBallots,bid408,Aurora2K,1-Peter,2-Bob
AllBallots,bid409,Aurora2K,1-Alice
AllBallots,bid410,Aurora2K,1-Alice
AllBallots,bid411,Aurora2K,1-Alice
AllBallots,bid412,Aurora2K,1-Peter,2-Bob
AllBallots,bid413,Aurora2K,1-Alice
AllBallots,bid414,Aurora2K,1-Alice
AllBallots,bid415,Aurora2K,1-Peter,2-Bob
AllBallots,bid416,Aurora2K,1-Peter,2-Bob
AllBallots,bid417,Aurora2K,1-Alice
AllBallots,bid418,Aurora2K,1-Peter,2-Bob
AllBallots,bid419,Aurora2K,1-Alice
AllBallots,bid420,Aurora2K,1-Peter,2-Bob
AllBallots,bid421,Aurora2K,1-Peter,2-Bob
AllBallots,bid422,Aurora2K,1-Alice
AllBallots,bid423,Aurora2K,1-Alice
AllBallots,bid424,Aurora2K,1-Alice
AllBallots,bid425,Aurora2K,1-Alice
AllBallots,bid426,Aurora2K,1-Peter,2-Bob
AllBallots,bid427,Aurora2K,1-Alice
AllBallots,bid428,Aurora2K,1-Alice
AllBallots,bid429,Aurora2K,1-Alice
AllBallots,bid430,Aurora2K,1-Alice
AllBallots,bid431,Aurora2K,2-Bob
AllBallots,bid432,Aurora2K,1-Alice
AllBallots,bid433,Aurora2K,1-Alice
AllBallots,bid434,Aurora2K,1-Alice
AllBallots,bid435,Aurora2K,1-Peter,2-Bob
AllBallots,bid436,Aurora2K,1-Alice
AllBallots,bid437,Aurora2K,1-Alice
AllBallots,bid438,Aurora2K,1-Peter,2-Bob
AllBallots,bid439,Aurora2K,1-Peter,2-Bob
AllBallots,bid440,Aurora2K,1-Peter,2-Bob
AllBallots,bid441,Aurora2K,1-Alice
AllBallots,bid442,Aurora2K,2-Bob
AllBallots,bid443,Aurora2K,1-Peter,2-Bob
AllBallots,bid444,Aurora2K,1-Peter,2-Bob
AllBallots,bid445,Aurora2K,1-Alice
AllBallots,bid446,Aurora2K,1-Alice
AllBallots,bid447,Aurora2K,1-Alice
AllBallots,bid448,Aurora2K,2-Bob
AllBallots,bid449,Aurora2K,2-Bob
AllBallots,bid450,Aurora2K,1-Peter,2-Bob
AllBallots,bid451,Aurora2K,1-Alice
AllBallots,bid452,Aurora2K,1-Alice
AllBallots,bid453,Aurora2K,1-Alice
AllBallots,bid454,Aurora2K,1-Alice
AllBallots,bid455,Aurora2K,2-Bob
AllBallots,bid456,Aurora2K,1-Alice
AllBallots,bid457,Aurora2K,1-Peter,2-Bob
AllBallots,bid458,Aurora2K,2-Bob
AllBallots,bid459,Aurora2K,1-Alice
AllBallots,bid460,Aurora2K,2-Bob
AllBallots,bid461,Aurora2K,1-Peter,2-Bob
AllBallots,bid462,Aurora2K,1-Alice
AllBallots,bid463,Aurora2K,2-Bob
AllBallots,bid464,Aurora2K,1-Peter,2-Bob
AllBallots,bid465,Aurora2K,1-Alice
AllBallots,bid466,Aurora2K,1-Alice
AllBallots,bid467,Aurora2K,1-Alice
AllBallots,bid468,Aurora2K,2-Bob
AllBallots,bid469,Aurora2K,2-Bob
AllBallots,bid470,Aurora2K,1-Alice
AllBallots,bid471,Aurora2K,1-Alice
AllBallots,bid472,Aurora2K,1-Alice
AllBallots,bid473,Aurora2K,1-Alice
AllBallots,bid474,Aurora2K,2-Bob
AllBallots,bid475,Aurora2K,1-Peter,2-Bob
AllBallots,bid476,Aurora2K,1-Peter,2-Bob
AllBallots,bid477,Aurora2K,1-Peter,2-Bob
AllBallots,bid478,Aurora2K,1-Peter,2-Bob
AllBallots,bid479,Aurora2K,1-Alice
AllBallots,bid480,Aurora2K,1-Peter,2-Bob
AllBallots,bid481,Aurora2K,1-Alice
AllBallots,bid482,Aurora2K,1-Alice
AllBallots,bid483,Aurora2K,1-Alice
AllBallots,bid484,Aurora2K,2-Bob
AllBallots,bid485,Aurora2K,2-Bob
AllBallots,bid486,Aurora2K,1-Peter,2-Bob
AllBallots,bid487,Aurora2K,1-Alice
AllBallots,bid488,Aurora2K,1-Peter,2-Bob
AllBallots,bid489,Aurora2K,2-Bob
AllBallots,bid490,Aurora2K,1-Peter,2-Bob
AllBallots,bid491,Aurora2K,1-Alice
AllBallots,bid492,Aurora2K,2-Bob
AllBallots,bid493,Aurora2K,2-Bob
AllBallots,bid494,Aurora2K,2-Bob
AllBallots,bid495,Aurora2K,1-Alice
AllBallots,bid496,Aurora2K,1-Alice
AllBallots,bid497,Aurora2K,2-Bob
AllBallots,bid498,Aurora2K,2-Bob
AllBallots,bid499,Aurora2K,2-Bob
AllBallots,bid500,Aurora2K,1-Alice
AllBallots,bid501,Aurora2K,1-Alice
AllBallots,bid502,Aurora2K,2-Bob
AllBallots,bid503,Aurora2K,2-Bob
AllBallots,bid504,Aurora2K,1-Alice
AllBallots,bid505,Aurora2K,2-Bob
AllBallots,bid506,Aurora2K,1-Peter,2-Bob
AllBallots,bid507,Aurora2K,1-Alice
AllBallots,bid508,Aurora2K,1-Peter,2-Bob
AllBallots,bid509,Aurora2K,2-Bob
AllBallots,bid510,Aurora2K,1-Peter,2-Bob
AllBallots,bid511,Aurora2K,1-Peter,2-Bob
AllBallots,bid512,Aurora2K,1-Alice
AllBallots,bid513,Aurora2K,1-Alice
AllBallots,bid514,Aurora2K,2-Bob
AllBallots,bid515,Aurora2K,1-Peter,2-Bob
AllBallots,bid516,Aurora2K,1-Alice
AllBallots,bid517,Aurora2K,1-Alice
AllBallots,bid518,Aurora2K,2-Bob
AllBallots,bid519,Aurora2K,1-Alice
AllBallots,bid520,Aurora2K,1-Peter,2-Bob
AllBallots,bid521,Aurora2K,1-Alice
AllBallots,bid522,Aurora2K,1-Alice
AllBallots,bid523,Aurora2K,2-Bob
AllBallots,bid524,Aurora2K,1-Peter,2-Bob
AllBallots,bid525,Aurora2K,2-Bob
AllBallots,bid526,Aurora2K,1-Peter,2-Bob
AllBallots,bid527,Aurora2K,1-Alice
AllBallots,bid528,Aurora2K,1-Alice
AllBallots,bid529,Aurora2K,2-Bob
AllBallots,bid530,Aurora2K,1-Alice
AllBallots,bid531,Aurora2K,2-Bob
AllBallots,bid532,Aurora2K,1-Alice
AllBallots,bid533,Aurora2K,1-Peter,2-Bob
AllBallots,bid534,Aurora2K,1-Alice
AllBallots,bid535,Aurora2K,2-Bob
AllBallots,bid536,Aurora2K,1-Alice
AllBallots,bid537,Aurora2K,1-Alice
AllBallots,bid538,Aurora2K,1-Alice
AllBallots,bid539,Aurora2K,1-Alice
AllBallots,bid540,Aurora2K,1-Alice
AllBallots,bid541,Aurora2K,1-Alice
AllBallots,bid542,Aurora2K,1-Peter,2-Bob
AllBallots,bid543,Aurora2K,1-Alice
AllBallots,bid544,Aurora2K,1-Alice
AllBallots,bid545,Aurora2K,1-Alice
AllBallots,bid546,Aurora2K,1-Alice
AllBallots,bid547,Aurora2K,2-Bob
AllBallots,bid548,Aurora2K,1-Alice
AllBallots,bid549,Aurora2K,1-Peter,2-Bob
AllBallots,bid550,Aurora2K,1-Alice
AllBallots,bid551,Aurora2K,1-Alice
AllBallots,bid552,Aurora2K,1-Alice
AllBallots,bid553,Aurora2K,1-Alice
AllBallots,bid554,Aurora2K,1-Alice
AllBallots,bid555,Aurora2K,1-Peter,2-Bob
AllBallots,bid556,Aurora2K,1-Peter,2-Bob
AllBallots,bid557,Aurora2K,1-Alice
AllBallots,bid558,Aurora2K,1-Alice
AllBallots,bid559,Aurora2K,1-Alice
AllBallots,bid560,Aurora2K,2-Bob
AllBallots,bid561,Aurora2K,1-Peter,2-Bob
AllBallots,bid562,Aurora2K,2-Bob
AllBallots,bid563,Aurora2K,1-Peter,2-Bob
AllBallots,bid564,Aurora2K,2-Bob
AllBallots,bid565,Aurora2K,1-Alice
AllBallots,bid566,Aurora2K,1-Alice
AllBallots,bid567,Aurora2K,1-Alice
AllBallots,bid568,Aurora2K,2-Bob
AllBallots,bid569,Aurora2K,1-Alice
AllBallots,bid570,Aurora2K,1-Alice
